mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
JHU- 7862,229.104,1.49,1,7,-0.32,2.34,149.65,0,16,3
JHU- 7858,376.14,0.89,0,1,0.88,5.81,12.89,0.17,11,0
JHU- 7835,450.707,9.7,0,2,9.7,-7.22,34.14,0.61,33,14
JHU- 7830,857.864,-4.52,3,18,-20.04,0.14,426.03,1,45,12
JHU- 7823,384.34,1.32,2,6,-3.11,2.89,132.47,0.06,26,4
JHU- 7816,398.503,1.14,1,6,-0.68,9.19,54.4,0.65,29,4
JHU- 7815,280.28,2.06,1,3,2.03,8.47,55.4,0.08,19,2
JHU- 7808,447.484,3.93,0,2,2.53,8.78,12.47,0.35,32,11
JHU- 7807,152.21,2.12,1,1,0.98,0.58,17.07,0.12,10,2
JHU- 7805,149.237,2.13,1,1,0.08,9.49,26.02,0.4,11,2
JHU- 7803,151.209,0.89,2,2,-1.05,9.37,46.25,0.33,11,2
JHU- 7794,337.749,0.9,0,0,0.9,,0,0.12,11,0
JHU- 7754,94.113,1.67,1,1,1.67,10,20.23,0,7,0
JHU- 7747,186.68,1.62,2,2,0.68,8.28,38.05,0.33,12,3
JHU- 7740,402.51,1.33,1,5,-2.05,3.47,98.77,0.47,26,5
JHU- 7732,321.464,4.08,1,2,1.97,10.9,23.47,0.45,24,3
JHU- 7731,355.1,-0.16,3,7,-4.69,1.99,132.75,0.14,18,4
JHU- 7729,178.234,3.95,0,0,3.95,,0,0,14,0
JHU- 7724,429.94,-1.34,1,3,-1.34,12,63.6,0.42,30,7
JHU- 7723,405.97,2.55,0,1,2.55,-4.84,13.11,0.27,29,7
JHU- 7698,391.29,5.7,0,1,5.7,-3.69,35.53,0.29,26,7
JHU- 7694,441.613,0.63,2,5,-0.85,3.79,95.94,0.87,31,9
JHU- 7683,351.359,-3.22,5,7,-6.22,3.17,158.82,0.38,25,9
JHU- 7654,965.539,3.11,0,1,3.11,-7,26.3,0.85,69,5
JHU- 7651,164.248,3.96,1,1,3.96,10.3,20.23,0.45,12,4
JHU- 7647,268.273,-2.02,4,7,-2.93,8.33,112.13,0.64,19,2
JHU- 7630,340.5,-0.73,1,2,-0.73,11.2,46.53,0.72,23,9
JHU- 7629,1396.6,-8.31,18,24,-14.02,1.09,485.43,0.49,97,47
diethylenetriaminepentaacetate (DPTA),393.349,-5.94,5,13,-17.9,-0.98,196.22,0.64,27,16
JHU- 7628,393.349,-5.94,5,13,-17.9,-0.98,196.22,0.64,27,16
894_FDAMDD_v3b,393.349,-5.94,5,13,-17.9,-0.98,196.22,0.64,27,16
JHU- 7625,497.356,-5.94,0,13,-17.9,-0.98,210.37,0.64,31,16
JHU- 7620,399.428,2.88,2,4,-0.1,10.7,46.18,0.5,27,9
JHU- 7606,767.9,1.05,8,8,-2.11,4,250.91,0.43,54,22
JHU- 7602,136.147,-2.74,4,4,-2.74,14.3,80.92,1,9,4
JHU- 7591,350.39,0.78,3,5,-2.6,3.52,106.94,0.44,24,4
JHU- 7589,947.38,11.03,2,2,8.13,10.2,24.06,0.64,68,14
JHU- 7579,574.74,1.08,2,4,-2.29,3.53,86.71,0.34,41,11
JHU- 7576,149.21,-2.15,3,3,-2.15,2.56,63.32,0.8,9,2
JHU- 7567,305.462,3.83,2,3,1.39,9.91,41.49,0.68,22,7
JHU- 7562,427.417,0.43,6,8,-5.55,3.53,186.97,0.25,31,9
JHU- 7550,158.241,3.14,1,2,0.99,5.23,37.3,0.89,11,7
JHU- 7536,515.497,-0.3,5,8,-3.34,1.81,190.98,0.84,34,22
JHU- 7517,345.87,3.84,0,2,2.27,8.96,29.54,0.35,24,7
JHU- 7516,309.409,3.95,0,2,1.88,9.48,29.54,0.35,23,7
JHU- 7514,507.69,4.12,2,6,4.12,2.73,109.25,0.74,35,2
JHU- 7499,615.634,-8.31,13,19,-13.16,9.58,347.32,1,42,9
JHU- 7495,416.646,4.26,3,3,4.26,14.8,60.69,0.78,30,5
JHU- 7481,679.773,6.05,4,6,-0.95,2.38,115.06,0.12,51,6
JHU- 7476,434.504,1.74,2,5,1.74,12.5,100.9,0.71,31,4
JHU- 7462,219.237,-1.36,4,5,-4.28,4.35,106.86,0.78,15,6
JHU- 7452,572.874,-3.27,0,2,-3.27,-6.72,52.6,0.94,41,6
JHU- 7437,348.201,0.29,1,3,-0.57,5.58,69.3,0.55,20,1
JHU- 7435,296.414,2.55,0,2,1.87,7.97,23.55,0.63,22,1
JHU- 7404,853.918,3.54,4,10,3.54,11.9,221.29,0.45,62,14
JHU- 7400,1007.19,-5,12,13,-5.31,7.65,399.53,0.6,69,17
JHU- 7397,460.439,-4.54,7,10,-4.92,3.18,201.85,0.41,33,2
JHU- 7384,301.342,0.64,2,5,-0.5,8.75,70,0.59,22,0
JHU- 7383,332.484,3.55,2,3,3.54,8.87,57.53,0.86,24,0
JHU- 7375,315.369,1.03,1,5,-0.35,8.77,59,0.61,23,1
JHU- 7371,354.55,7.45,1,3,5.07,-1.84,54.37,0.7,24,14
JHU- 7367,284.339,-0.77,1,3,-0.89,7.82,69.3,0.58,20,2
JHU- 7351,220.228,-1.39,4,4,-1.4,2.15,99.34,0.18,16,3
JHU- 7333,429.12,5.84,0,3,5.78,6.74,39.41,0.11,26,6
JHU- 7302,306.446,2.95,1,2,2.95,-0.53,46.53,0.95,22,0
JHU- 7296,397.293,-0.01,2,2,-2.74,9.99,52.04,0.75,15,1
JHU- 7294,90.034,-0.26,2,4,-6.88,1.36,74.6,0,6,1
JHU- 7289,401.44,1.7,2,5,-1.59,3.75,112.74,0.37,28,4
JHU- 7281,584.659,-2.78,8,11,-2.78,9.88,206.6,0.9,41,4
JHU- 7269,312.41,1.16,2,4,-0.67,9.26,90.65,0.75,22,8
JHU- 7249,495.745,8.11,1,3,8.11,12.7,81.7,0.9,35,23
JHU- 7200,687.062,7.26,0,1,7.26,-7.04,26.3,0.48,50,31
JHU- 7199,408.53,2.06,3,4,-1.22,3.77,86.71,0.53,27,5
JHU- 7189,337.419,0.75,1,4,0.75,3.78,49.77,0.29,25,5
CIC862,337.419,0.75,1,4,0.75,3.78,49.77,0.29,25,5
JHU- 7187,446.511,2.41,3,7,-0.19,0.88,129.81,0.29,33,8
JHU- 7177,282.468,6.78,1,2,4.4,4.99,37.3,0.83,20,15
JHU- 7176,687.868,2.98,3,12,1.37,9,165.98,0.94,48,6
JHU- 7161,377.308,-2.24,3,6,-5.06,3.44,151.17,0.31,26,8
JHU- 7145,159.229,3.65,0,2,3.65,-1.56,38.66,1,11,8
JHU- 7140,1035.25,-2.95,15,13,-3.31,3.11,349.29,0.43,72,29
JHU- 7139,1021.26,-1.25,15,12,-3.45,10.5,332.22,0.45,71,29
JHU- 7131,290.403,5.38,0,2,5.38,-4.82,35.53,0.5,21,10
JHU- 7129,362.406,6.45,0,1,6.45,-9.28,44.76,0.4,25,11
JHU- 7118,577.92,3.58,0,0,3.58,,0,0.78,34,17
JHU- 7103,926.107,-1.94,12,17,-1.95,3.61,319.61,0.7,65,3
JHU- 7102,335.87,3.05,3,3,1.54,10.1,52.49,0.37,23,7
JHU- 7090,612.632,3.26,5,9,1.36,5.51,196.1,0.39,44,9
JHU- 7086,413.426,2.38,0,7,2.33,7.08,75.69,0.41,30,4
JHU- 7070,369.505,4.11,1,3,4.11,11.5,58.89,0.74,27,3
JHU- 7063,298.426,2.81,1,2,2.81,16.2,37.3,0.75,22,0
JHU- 7062,340.463,3.66,0,2,3.66,18.3,43.37,0.73,25,2
JHU- 7061,298.426,3.22,1,2,3.22,-1.66,37.3,0.75,22,0
JHU- 7060,302.458,3.87,1,2,3.87,-0.27,37.3,0.85,22,1
JHU- 7058,327.468,3.67,2,3,3.67,11.5,52.82,0.76,24,1
JHU- 7047,264.409,5.2,1,2,5.2,15.1,29.46,0.65,19,11
JHU- 7022,321.97,5.36,2,2,2.66,10.3,32.26,1,21,16
JHU- 7021,197.234,0.35,3,4,-0.46,8.43,63.93,0.4,14,3
JHU- 7019,331.45,0.77,2,6,0.72,6.54,83.33,0.58,21,10
CIC848,331.45,0.77,2,6,0.72,6.54,83.33,0.58,21,10
JHU- 7010,139.11,1.61,1,3,1.12,7.07,63.37,0,10,1
JHU- 7006,352.72,1.04,1,3,-0.16,6.21,63.37,0.14,12,1
JHU- 7001,238.159,-0.22,1,5,-0.28,8.23,118.05,0.12,17,3
JHU- 6977,149.237,2.85,0,1,2.85,5.45,3.24,0.4,11,2
JHU- 6959,283.415,4.05,1,2,2.06,10.6,23.47,0.37,21,8
JHU- 6914,259.214,-1.83,4,6,-7.89,2.72,115.06,0.3,18,4
JHU- 6910,162.236,1.16,0,2,-0.04,8.58,16.13,0.5,12,1
JHU- 6865,475.587,-3.53,8,12,-10.14,9.73,199.73,0.9,33,8
JHU- 6860,2127.53,-18.04,34,35,-24.38,12.2,907.28,0.67,146,74
JHU- 6844,307.45,3.74,0,2,2.17,8.96,29.54,0.59,21,9
JHU- 6843,318.39,-2.25,0,1,-2.25,,29.54,0.46,21,3
JHU- 6840,322.362,-5.29,8,10,-9.22,9.36,203.46,1,22,3
JHU- 6839,871.08,-8.42,13,19,-14.53,9.63,353.11,0.97,60,23
JHU- 6828,567.79,4.72,4,5,4.09,8.18,101.9,0.56,40,10
JHU- 6824,297.271,-1.57,4,9,-1.57,4.47,148.77,0.55,21,3
JHU- 6823,218.22,-1.66,2,4,-1.99,-2.31,74.6,0.12,14,2
JHU- 6812,467.52,-6.48,10,14,-12.43,9.5,268.17,1,32,6
JHU- 6794,665.733,-1.69,7,13,-1.7,3.58,230.99,0.64,47,3
JHU- 6788,580.539,-0.16,8,14,-0.18,8.58,225.06,0.52,41,6
JHU- 6786,445.468,-0.33,1,9,-0.34,3.5,103.76,0.39,32,10
JHU- 6773,322.83,2.87,1,3,1.3,8.96,55.56,0.35,22,7
JHU- 6772,170.252,2.81,1,2,0.49,5.05,37.3,0.9,12,4
JHU- 6764,406.566,5.79,0,2,5.79,18.3,43.37,0.63,30,5
JHU- 6763,428.657,7.32,0,2,7.32,18.3,43.37,0.86,31,10
JHU- 6755,341.407,1.27,2,5,-0.4,9.35,70,0.65,25,2
JHU- 6754,327.38,1.48,2,5,0.58,8.39,70,0.53,24,2
JHU- 6753,311.381,1.68,2,4,0.48,8.81,52.93,0.47,23,2
JHU- 6751,339.435,1.95,2,4,0.07,9.57,52.93,0.62,25,2
JHU- 6747,357.45,1.19,3,5,-0.73,9.62,73.16,0.71,26,2
JHU- 6741,287.406,5.24,0,1,3.64,8.99,3.24,0.14,22,5
JHU- 6728,414.48,2.29,2,5,-1.13,3.31,95.94,0.38,29,5
JHU- 6725,1322.496,-3.46,16,18,-5.03,11.7,468.17,0.42,96,33
JHU- 6722,286.8,2.55,2,3,0.45,9.53,64.35,0.5,19,9
JHU- 6717,663.43,-9.96,7,15,-11.41,1.85,321.09,0.48,44,11
JHU- 6715,221.209,-3.22,5,6,-3.22,11.6,119.25,0.88,15,2
JHU- 6710,372.549,6.36,1,3,6.35,9.33,46.53,0.71,27,6
JHU- 6708,135.21,2.59,0,1,2.59,5.46,3.24,0.33,10,1
JHU- 6707,73.095,-0.63,0,1,-0.63,-1.26,20.31,0.67,5,0
JHU- 6706,129.247,2.44,1,1,-0.5,10.6,12.03,1,9,5
JHU- 6701,325.97,3.1,0,0,3.1,,3.88,0.75,22,13
JHU- 6700,214.393,5.25,1,1,5.25,-1.99,20.23,1,15,12
JHU- 6695,320.341,3.53,2,5,0.16,3.57,93.06,0.41,23,6
JHU- 6680,500.629,2.45,4,8,-0.07,4.83,146.05,0.85,35,17
JHU- 6661,401.438,-0.51,2,7,-0.5,9.51,82.11,0.52,29,4
JHU- 6653,520.47,0.17,4,12,-6.72,2.81,206.3,0.35,36,9
798_FDAMDD_v3b,520.47,0.17,4,12,-6.72,2.81,206.3,0.35,36,9
JHU- 6647,1151.44,6.76,3,14,6.76,2.45,181.65,0.54,72,28
JHU- 6640,213.25,-0.11,1,3,-2.48,-2.08,63.6,1,13,2
JHU- 6636,285.343,0.9,2,4,-0.6,9.12,52.93,0.53,21,0
JHU- 6634,345.395,0.9,2,4,-0.6,9.12,52.93,0.53,25,0
JHU- 6613,586.19,8.49,2,4,5.8,4.4,70.42,0.31,41,12
JHU- 6589,521.43,5.06,1,4,5.06,13.8,93.81,0.59,35,5
JHU- 6573,498.576,1.5,2,7,-0.08,3.46,114.4,0.44,36,12
JHU- 6555,1029.277,-0.76,0,12,-0.76,18.6,144.9,0.52,74,30
JHU- 6544,334.332,-1.05,3,7,-1.06,5.76,146.89,0.53,24,4
JHU- 6535,307.966,-0.65,4,4,-0.65,12.6,80.92,1,12,5
JHU- 6531,382.541,3.86,2,4,3.86,14.7,83.83,0.82,27,14
JHU- 6505,457.483,-2.56,5,9,-2.71,3.24,164.63,0.43,33,3
JHU- 6473,219.281,-1.18,4,5,-2.3,8.49,84.16,1,15,4
JHU- 6472,207.226,-3.19,5,6,-3.6,7.6,104.39,1,14,3
JHU- 6469,429.604,5.13,1,3,5.13,4.89,40.54,0.55,32,3
JHU- 6450,1270.28,-6.34,16,22,-6.74,-2.19,510.14,0.48,89,18
JHU- 6447,495.639,5.16,1,4,2.75,9.82,67.45,0.52,36,12
JHU- 6444,539.58,-0.84,3,8,-4.22,3.49,173.5,0.48,36,5
JHU- 6420,789.1,-0.24,6,8,-0.24,11.4,168.66,0.5,32,5
JHU- 6402,335.83,1.89,1,4,0.43,9.12,49.77,0.61,23,0
JHU- 6396,906.641,-1.85,0,4,-1.85,13,55.38,0.4,50,4
JHU- 6395,652.831,-1.85,0,4,-1.85,13,55.38,0.4,48,4
JHU- 6375,353.466,1.82,2,3,1.25,7.83,57.5,0.48,26,4
JHU- 6371,302.458,3.65,1,2,3.65,-0.53,37.3,0.85,22,0
F3292-0438,302.458,3.65,1,2,3.65,-0.53,37.3,0.85,22,0
JHU- 6367,474.55,1.83,3,7,-1.5,3.66,138.2,0.69,34,7
JHU- 6364,416.514,2,2,5,2,12.6,100.9,0.71,30,4
JHU- 6363,472.578,3.14,1,5,3.14,14.8,106.97,0.7,34,7
JHU- 6362,374.477,1.56,3,5,1.56,12.6,94.83,0.73,27,2
JHU- 6356,115.22,1.85,1,1,-0.88,10.4,26.02,1,8,3
JHU- 6355,339.439,1.29,2,3,0.73,7.83,57.5,0.45,25,3
JHU- 6351,239.271,1.41,3,4,1.18,7.22,92.78,0.42,17,5
JHU- 6346,412.432,-1.49,3,11,-1.49,12.3,134.53,1,28,9
JHU- 6345,426.664,2.88,0,2,2.88,17.1,18.46,0.57,31,12
JHU- 6338,390.476,2.71,0,0,2.71,,0,0.23,28,6
JHU- 6337,100.117,1.31,0,1,1.31,-6.82,26.3,0.4,7,2
JHU- 6334,32.042,-0.52,1,1,-0.52,15.8,20.23,1,2,0
JHU- 6330,318.392,-3.27,1,3,-3.27,15.1,59.06,0.61,23,5
JHU- 6329,430.52,3.77,0,3,1.98,9.2,15.71,0.27,30,7
JHU- 6309,149.21,-2.19,2,3,-2.19,2.53,63.32,0.8,9,4
JHU- 6307,222,0.22,1,3,-2.16,-1.81,54.37,1,6,1
JHU- 6297,319.365,0.53,2,3,-2.82,3.59,66.4,0.47,23,3
JHU- 6286,296.86,3.74,0,2,2.23,8.9,6.48,0.33,19,6
JHU- 6283,300.442,3.64,1,2,3.64,-0.53,37.3,0.75,22,0
JHU- 6282,304.474,3.08,2,2,3.08,-0.47,40.46,0.9,22,0
JHU- 6280,149.237,2.24,1,1,-0.44,10.2,12.03,0.4,11,3
JHU- 6279,369.411,-3.09,6,8,-9.97,2.83,155.52,0.87,25,10
JHU- 6274,226.29,1.99,2,2,1.59,7.2,58.2,0.5,15,3
JHU- 6273,361.398,2.26,0,3,0.88,8.76,32.51,0.28,26,8
JHU- 6268,442.424,-0.74,5,9,-0.94,7.29,178.46,0.36,32,2
JHU- 6236,176.212,1.17,0,4,1.17,-3.91,36.92,1,12,0
JHU- 6235,256.386,3.53,0,2,3.53,-4.12,35.53,0.93,18,7
JHU- 6228,272.77,2.03,2,3,-0.2,9.67,64.35,0.46,18,7
JHU- 6221,310.437,4.04,1,2,4.04,-1.66,29.46,0.62,23,1
JHU- 6220,282.383,5.34,1,2,5.33,8.93,29.46,0.26,21,5
JHU- 6205,466.864,0.2,2,5,-3.36,3.24,84.86,0.38,20,8
JHU- 6204,383.46,-4.35,3,6,-4.36,3.28,110.18,0.71,26,5
JHU- 6195,763.512,6.78,0,2,4.4,4.99,40.13,0.83,41,30
JHU- 6194,685.81,-0.35,0,1,-0.34,9.5,23.79,0,9,0
JHU- 6193,327.496,0.23,0,0,0.23,,0,,2,0
JHU- 6192,651.107,1.42,2,4,-1.94,3.77,75.63,0.67,33,6
JHU- 6190,232.65,-0.32,0,0,-0.32,,0,,2,0
JHU- 6189,299.681,-0.99,1,2,-0.99,9.9,46.17,0.5,8,0
JHU- 6187,216.591,-1.05,0,1,-1.05,-5.74,17.07,,2,0
JHU- 6186,481.044,6.42,1,2,4.04,4.99,37.3,0.72,21,14
JHU- 6184,252.07,-0.98,1,1,-2.44,8.86,25.3,,3,0
JHU- 6183,271.49,0.61,0,0,0.83,-7,0,,3,0
JHU- 6182,682.009,1.15,0,4,-2.5,2.62,75.66,0.29,35,5
JHU- 6181,479.86,1.15,1,4,-2.5,2.62,72.83,0.29,21,5
JHU- 6180,329.15,1.25,1,1,1.25,9.4,20.23,0,9,1
JHU- 6178,152.18,0.01,2,2,0.01,10.2,53.07,0,10,0
JHU- 6177,470.94,1.42,2,4,-1.94,3.77,75.63,0.86,20,6
JHU- 6176,689.686,3.61,2,5,-2.39,2.76,83.83,0,28,1
JHU- 6174,449.835,-1.3,3,5,-4.61,3.86,104.73,0.67,18,7
JHU- 6159,372.461,2.02,2,5,2.02,12.4,91.67,0.68,27,2
JHU- 6151,370.375,-0.58,1,1,-0.58,14.6,20.23,0.68,22,6
JHU- 6145,225.244,1.12,2,3,1.12,13.6,81.78,0.36,16,6
JHU- 6143,247.338,2.46,0,2,1.63,8.16,29.54,0.53,18,4
CIC724,247.338,2.46,0,2,1.63,8.16,29.54,0.53,18,4
JHU- 6141,370.51,4.38,0,2,3.07,8.7,6.48,0.38,26,2
JHU- 6121,276.24,0.98,1,5,-1.44,-1.37,94.5,0.18,18,1
JHU- 6091,823.158,2.76,2,4,-0.76,2.16,86.71,0.53,34,9
JHU- 6090,195.215,-3.4,6,6,-5.11,9.11,113.18,1,13,6
JHU- 6087,384.516,3.72,0,3,3.72,17.8,60.44,0.71,28,3
JHU- 6083,378.318,4.11,2,3,2.07,9.46,45.15,0.47,26,4
JHU- 6074,344.495,3.13,1,3,3.13,-0.26,54.37,0.82,25,1
JHU- 6072,386.532,4.13,0,3,4.13,17.7,60.44,0.79,28,3
JHU- 6047,695.05,-0.18,5,9,-0.55,5.8,178.46,0.28,47,4
JHU- 6040,423.7,3.04,0,0,3.04,,0,1,28,18
JHU- 5991,452.154,0.46,0,18,0.46,-5.32,314.22,1,30,17
JHU- 5990,182.172,-3.73,6,6,-3.73,12.6,121.38,1,12,5
JHU- 5985,150.99,-0.84,0,4,-5.59,-3.03,80.26,,6,0
JHU- 5984,180.882,-0.59,0,2,-2.85,-4.07,40.13,,7,0
JHU- 5981,86.936,-1.15,0,2,-1.15,-7.71,34.14,,3,0
JHU- 5978,757.327,-1.95,0,16,-14.91,1.44,303.48,0.45,46,17
JHU- 5975,342.297,-4.7,8,11,-4.7,11.3,189.53,1,23,4
JHU- 5961,68.389,0,0,1,0,,0,,3,0
JHU- 5957,148.995,-1.38,0,3,-3.69,2.7,63.19,,7,0
JHU- 5954,255.535,1.41,1,4,0.96,7.14,72.47,0.25,18,2
JHU- 5953,56.303,-0.45,0,2,-0.45,11.5,46.12,,3,0
JHU- 5952,40.304,-1.1,0,1,-1.1,-0.78,17.07,,2,0
JHU- 5950,392.68,0.31,1,3,-3.02,3.64,69.23,0.14,25,6
JHU- 5948,432.614,-3.41,5,7,-6.82,3.39,141.28,0.83,28,10
JHU- 5944,24.305,-0.57,0,0,-0.57,,0,,1,0
JHU- 5943,84.313,0.25,0,3,-1.11,6.05,63.19,0,5,0
JHU- 5918,146.19,-3.21,3,4,-4.98,2.74,89.34,0.83,10,5
JHU- 5904,1182.311,-6.32,16,17,-7.98,11.2,474.63,0.47,85,31
JHU- 5884,390.468,4.56,2,5,1.6,4.3,83.83,0.9,27,11
JHU- 5879,339.308,-2.42,5,9,-2.42,4.06,160.95,0.46,24,4
JHU- 5873,324.89,4.52,1,2,3.82,8,32.34,0.61,22,5
JHU- 5871,404.547,3.9,1,3,3.9,14.9,72.83,0.75,29,7
JHU- 5866,466.96,3.94,1,5,3.94,14.9,99.13,0.71,32,7
JHU- 5845,349.77,-2.4,3,5,-2.76,2.93,112.73,0.31,24,4
JHU- 5840,628.814,4.69,4,5,4.69,13.4,120,0.43,46,15
JHU- 5818,295.59,2.66,1,3,0.9,9.27,33.62,0.36,17,3
JHU- 5813,432.77,0.83,4,7,-6.23,-6.72,156.59,0.27,29,7
JHU- 5812,367.74,2.3,2,5,2.3,9.57,134.59,0.27,25,8
JHU- 5781,209.92,-1.32,1,7,-9.47,3.05,140.62,0.5,16,5
JHU- 5780,66.95,0.25,0,3,-1.11,6.05,63.19,0,5,0
JHU- 5774,405.495,-3.1,4,7,-3.18,3.17,132.96,0.57,29,12
JHU- 5762,1471.815,3.73,2,4,3.44,0.27,95.61,0.13,49,10
JHU- 5748,280.452,6.42,1,2,4.04,4.99,37.3,0.72,20,14
JHU- 5745,337.351,0.64,1,5,0.64,14.9,71.11,0.5,24,4
JHU- 5743,290.81,4.35,0,0,4.35,,0,1,12,0
JHU- 5741,406.54,-0.32,5,7,-0.99,7.97,122.49,0.94,27,7
JHU- 5700,798.856,3.73,2,4,3.44,0.27,95.61,0.13,25,5
JHU- 5695,257.377,2.9,1,2,0.93,9.66,23.47,0.65,19,0
JHU- 5689,739.98,4.41,2,6,-0.34,-2.09,108.74,0.42,51,13
JHU- 5687,312.453,3.66,1,2,3.66,-1.53,37.3,0.76,23,1
JHU- 5681,271.404,3.49,0,2,1.08,9.85,12.47,0.67,20,1
JHU- 5675,328.47,4.25,0,3,2.24,9.42,15.71,0.37,23,5
JHU- 5665,197.19,-1.79,4,5,-1.8,1.65,103.78,0.22,14,3
JHU- 5661,420.528,2.5,1,4,2.5,3.71,64.33,0.46,31,4
JHU- 5658,291.391,2.18,2,4,-0.11,9.75,58.56,0.59,21,6
Bunolol,291.391,2.18,2,4,-0.11,9.75,58.56,0.59,21,6
JHU- 5657,343.89,2.54,2,4,0.31,9.67,50.72,0.67,23,11
JHU- 5653,170.212,-0.59,1,2,-0.59,16.1,63.4,0.75,12,3
JHU- 5646,283.415,3.76,1,2,1.99,9.41,23.47,0.58,21,2
JHU- 5643,275.77,0.34,4,4,-1.32,9.4,72.72,0.54,18,5
JHU- 5641,1209.421,-2.74,16,16,-4.44,11.9,429.04,0.53,87,32
JHU- 5639,473.446,-2.33,7,11,-8.47,3.47,215.55,0.3,34,9
JHU- 5629,203.3,1.86,0,3,1.86,-3.84,42.25,0.89,13,9
JHU- 5615,6985.53,-50.8,106,116,-77.78,2.6,3107.12,0.62,484,234
a-(3-aminophthalimido) glutaramide,273.248,-0.16,2,5,-0.16,11.6,109.57,0.23,20,1
JHU- 5606,273.248,-0.16,2,5,-0.16,11.6,109.57,0.23,20,1
JHU- 5586,258.23,-5.73,3,4,-3.7,1.86,96.22,1,16,8
JHU- 5563,1077.35,1.54,0,8,1.54,-4.11,73.84,0.56,74,25
JHU- 5561,432.601,3.98,3,4,3.98,14.5,86.99,0.65,31,14
JHU- 5548,198.913,0.25,0,3,-1.11,6.05,63.19,0,5,0
JHU- 5545,1156.39,-0.33,13,12,-2.43,10.3,355.08,0.41,81,17
JHU- 5534,104.105,-0.77,1,2,-0.77,15.1,46.53,0.75,7,3
JHU- 5528,229.25,-1.1,2,5,-1.1,4.3,88.15,0.5,15,2
JHU- 5516,360.312,-4.7,8,11,-4.7,11.3,189.53,1,24,4
JHU- 5503,83.798,0,0,0,0,,0,,1,0
JHU- 5486,531.43,4.19,0,6,4.16,6.42,69.06,0.38,36,7
JHU- 5468,484.503,-7.06,11,15,-11.74,9.4,282.61,1,33,6
JHU- 5450,835.041,4.9,3,13,4.9,12.5,170.06,0.8,59,6
JHU- 5442,705.64,7.31,0,9,7.31,3.91,100.79,0.37,49,11
JHU- 5430,301.386,2.56,3,4,1.32,9,61.72,0.33,22,7
JHU- 5416,191.139,-0.71,1,6,-0.71,13.3,91.06,1,13,2
JHU- 5415,236.136,-0.01,0,8,-0.01,-3.9,123.2,1,16,4
JHU- 5414,146.142,-1.41,2,4,-1.41,13,58.92,1,10,0
JHU- 5409,60.096,0.25,1,1,0.25,-1.81,20.23,1,4,0
JHU- 5398,333.94,4.95,0,2,3.38,8.96,29.54,0.94,22,10
JHU- 5389,131.175,-1.51,2,3,-1.51,2.79,63.32,0.83,9,3
JHU- 5381,127.231,1.83,1,1,-0.9,10.4,26.02,1,9,2
JHU- 5377,324.376,5.42,0,2,5.42,-6.67,52.6,0.2,24,8
JHU- 5374,249.354,3.55,1,2,1.16,9.85,38.33,0.53,18,7
JHU- 5371,195.32,3.19,0,1,3.19,,23.79,0.91,13,1
JHU- 5348,430.138,-1.32,4,7,-9.47,3.05,132.13,0.75,26,10
JHU- 5343,195.895,-3.96,0,1,-3.96,15.2,0,0,11,0
JHU- 5338,246.306,0.67,2,3,0.67,12.8,57.53,0.53,18,1
JHU- 5336,586.689,2.78,1,6,0.72,9.47,112.51,0.52,43,5
irbesartan,428.54,4.47,1,5,3.34,4.29,87.13,0.4,32,7
JHU- 5333,428.54,4.47,1,5,3.34,4.29,87.13,0.4,32,7
CIC639,428.54,4.47,1,5,3.34,4.29,87.13,0.4,32,7
JHU- 5310,332.463,-1.82,1,2,-1.82,15.1,46.53,0.65,24,6
JHU- 5307,597.961,3.4,1,4,1,1.99,52.9,0.33,19,4
Ipodic acid,597.961,3.4,1,4,1,1.99,52.9,0.33,19,4
JHU- 5281,276.03,1.02,1,2,0.89,7.85,38.33,0,10,0
JHU- 5277,635.898,2.89,2,4,-0.63,2.17,98.33,0.18,21,3
373_FDAMDD_v3b,635.898,2.89,2,4,-0.63,2.17,98.33,0.18,21,3
JHU- 5257,777.089,-0.74,8,8,-0.74,11,188.45,0.47,31,10
JHU- 5235,1483.14,7.17,4,10,0.14,2.03,169.72,0.52,57,25
JHU- 5229,510.067,2.11,1,4,-1.4,2.53,57.61,0.45,20,6
614_FDAMDD_v3b,510.067,2.11,1,4,-1.4,2.53,57.61,0.45,20,6
JHU- 5221,393.732,4.65,0,0,4.65,,0,1,4,0
JHU- 5219,494.1,-5.9,4,6,-5.92,1.56,126.64,0.67,16,7
JHU- 5216,248.019,2.56,1,2,-0.57,4.05,37.3,0,10,1
JHU- 5205,253.809,1.36,0,0,1.36,,0,,2,0
JHU- 5201,823.158,2.6,3,4,-0.92,2.28,95.5,0.53,34,10
JHU- 5196,1644.301,6.4,6,8,-0.65,1.83,191,0.53,68,23
JHU- 5187,342.297,-4.53,8,11,-4.53,11.8,189.53,1,23,5
JHU- 5184,1355.388,-2.2,9,17,-2.37,1.56,460.05,0.62,93,26
JHU- 5149,5873.01,-27.88,76,87,-40.63,2.63,2291.15,0.58,406,126
JHU- 5140,5807.63,-27.16,78,85,-39.91,2.63,2299.07,0.57,405,126
JHU- 5133,5831.65,-18.85,49,51,-20.68,11.9,1351.73,0.57,406,187
JHU- 5132,6222.17,-18.94,56,58,-21.83,12.4,1530.73,0.58,435,202
JHU- 5130,5813.68,-16.82,47,49,-16.77,11.9,1305.64,0.57,405,184
